date,minTemp,maxTemp
42103.00,54,83
42104.00,57,87
42105.00,60,86
42106.00,65,86
42107.00,63,90
42108.00,67,94
42109.00,65,84
42110.00,56,75
42111.00,55,82
42112.00,59,90
42113.00,62,92
42114.00,65,93
42115.00,65,91
42116.00,65,89
42117.00,62,83
42118.00,62,78
42119.00,56,81
42120.00,54,75
42121.00,57,87
42122.00,68,93
42123.00,71,96
42124.00,70,99
42125.00,70,101
42126.00,72,98
42127.00,75,96
42128.00,65,85
42129.00,67,86
42130.00,69,90
42131.00,65,86
42132.00,61,75
42133.00,57,77
42134.00,61,89
42135.00,67,96
42136.00,70,91
42137.00,69,91
42138.00,70,87
42139.00,57,76
42140.00,57,75
42141.00,64,86
42142.00,65,90
42143.00,65,87
42144.00,67,93
42145.00,72,91
42146.00,66,82
42147.00,64,83
42148.00,66,85
42149.00,67,92
42150.00,71,96
42151.00,73,97
42152.00,71,98
42153.00,73,103
42154.00,74,105
42155.00,78,107
42156.00,78,105
42157.00,76,104
42158.00,74,102
42159.00,73,97
42160.00,72,90
42161.00,73,97
42162.00,71,100
42163.00,78,105
42164.00,83,95
42165.00,80,95
42166.00,82,100
42167.00,78,104
42168.00,80,105
42169.00,83,107
42170.00,86,112
42171.00,85,112
42172.00,86,114
42173.00,86,115
42174.00,85,114
42175.00,80,112
42176.00,88,109
42177.00,85,109
42178.00,87,111
42179.00,87,112
42180.00,90,110
42181.00,89,107
42182.00,90,108
42183.00,87,110
42184.00,86,110
42185.00,85,107
